BSSID,rssi1,rssi2,rssi3,rssi4
a4:00:e2:96:0e:a0,-52,0,0,0
a4:00:e2:96:0e:a0,-53,0,0,0
a4:00:e2:96:0e:a0,-54,0,0,0
a4:00:e2:96:0e:a0,-57,0,0,0
a4:00:e2:96:0e:a0,-58,0,0,0
a4:00:e2:96:0e:a0,-59,0,0,0
a4:00:e2:96:0e:a0,-60,0,0,0
a4:00:e2:96:0e:a0,-61,0,0,0
a4:00:e2:96:0e:a0,-62,0,0,0
a4:00:e2:96:0e:a0,-63,0,0,0
a4:00:e2:96:0e:a0,-64,0,0,0
a4:00:e2:96:0e:a0,-66,0,0,0
a4:00:e2:96:0e:a0,-68,0,0,0
a4:00:e2:96:0e:a0,-70,0,0,0
a4:00:e2:96:0e:a0,-72,0,0,0
a4:00:e2:96:0e:a0,-73,0,0,0
a4:00:e2:96:0e:a0,-76,0,0,0
a4:00:e2:96:0e:a0,-78,0,0,0
a4:00:e2:96:0e:a0,-79,0,0,0
a4:00:e2:96:0e:b0,-68,0,0,0
b0:e1:7e:1a:5e:77,-78,0,0,0
b0:e1:7e:1a:5e:77,-79,0,0,0
b0:e1:7e:1a:5e:77,-82,0,0,0
b0:e1:7e:1a:5e:77,-84,0,0,0
b0:e1:7e:1a:5e:77,-84,0,0,0
b0:e1:7e:1a:5e:77,-85,0,0,0
b0:e1:7e:1a:5e:77,-88,0,0,0
b0:e1:7e:1a:5e:77,-90,0,0,0
cc:d5:39:89:52:ce,-72,0,0,0
cc:d5:39:89:52:ce,-73,0,0,0
cc:d5:39:89:52:ce,-75,0,0,0
cc:d5:39:89:52:ce,-76,0,0,0
cc:d5:39:89:52:ce,-77,0,0,0
cc:d5:39:89:52:ce,-78,0,0,0
cc:d5:39:89:52:ce,-81,0,0,0
cc:d5:39:89:52:ce,-82,0,0,0
cc:d5:39:89:5a:be,-74,0,0,0
cc:d5:39:89:bd:9e,-83,0,0,0
cc:d5:39:89:bd:9e,-83,0,0,0
cc:d5:39:89:bd:9e,-81,0,0,0
cc:d5:39:89:bd:9e,-84,0,0,0
d0:c6:5b:75:39:20,-58,-73,0,0
d0:c6:5b:75:39:20,-61,-70,0,0
d0:c6:5b:75:39:20,-62,-75,0,0
f4:79:60:32:dc:a0,-63,-82,0,0
f4:79:60:32:dc:a0,-64,-83,0,0
f4:79:60:32:dc:a0,-65,-77,0,0
f4:79:60:32:dc:a0,-66,0,0,0
f4:79:60:32:dc:a0,-67,0,0,0
f4:79:60:32:dc:a0,-68,0,0,0
f4:79:60:32:dc:a0,-69,0,0,0
f4:79:60:32:dc:a0,-70,0,0,0
f4:79:60:32:dc:a0,-71,0,0,0
f4:79:60:32:dc:a0,-72,0,0,0
f4:79:60:32:dc:a0,-73,0,0,0
f4:79:60:32:dc:a0,-75,0,0,0
f4:79:60:32:dc:a0,-76,0,0,0
f4:79:60:32:dc:a0,-77,0,0,0
f4:79:60:32:dc:a0,-78,0,0,0
f4:79:60:32:dc:a0,-80,0,0,0
f4:79:60:32:dc:a0,-81,0,0,0
f4:79:60:32:dc:a0,-83,0,0,0
f4:79:60:32:dc:a0,-82,0,0,0
f8:35:dd:22:c4:6e,-70,-52,0,0
f8:35:dd:22:c4:6e,-75,-56,0,0
f8:35:dd:22:c4:6e,-76,-58,0,0
f8:35:dd:22:c4:6e,-74,-52,0,0
f8:35:dd:22:c4:6e,-78,-53,0,0
f8:35:dd:22:c4:6e,-77,-55,0,0
f8:35:dd:22:c4:6e,-75,-56,0,0
f8:35:dd:22:c4:6e,-78,-57,0,0
f8:35:dd:22:c4:e0,-70,0,0,0
f8:35:dd:22:c4:e0,-72,0,0,0
f8:35:dd:22:c4:e0,-73,0,0,0
f8:35:dd:22:c4:e0,-75,0,0,0
f8:35:dd:22:ca:7c,-80,0,0,0
f8:35:dd:22:ca:7c,-86,0,0,0
20:10:7a:8e:ac:9a,0,-75,0,0
20:10:7a:8e:ac:9a,0,-77,0,0
20:10:7a:8e:ac:9a,0,-74,0,0
20:10:7a:8e:ac:9a,0,-78,0,0
20:10:7a:8e:ac:9a,0,-73,0,0
68:86:a7:56:fd:21,0,-77,0,0
68:86:a7:57:09:fe,0,-75,-74,0
68:86:a7:57:0c:71,0,-75,0,0
68:86:a7:57:0c:71,0,-78,0,0
68:86:a7:57:1c:8e,0,-51,-80,0
68:86:a7:57:1c:8e,0,-55,-81,0
68:86:a7:57:1c:8e,0,-57,-84,0
68:86:a7:57:1c:8e,0,-51,-81,0
68:86:a7:57:1c:8e,0,-55,-82,0
68:86:a7:57:1c:8e,0,-60,-84,0
68:86:a7:57:1c:8e,0,-60,-88,0
68:86:a7:57:1c:8e,0,-62,0,0
68:86:a7:57:1c:8e,0,-62,0,0
68:86:a7:57:1c:8e,0,-64,0,0
a4:00:e2:95:c7:d0,0,-84,-85,0
a4:00:e2:95:f5:e0,0,-63,0,0
a4:00:e2:95:f5:e0,0,-68,0,0
a4:00:e2:95:f5:f0,0,-62,0,0
cc:d5:39:89:62:4e,0,-63,-85,0
cc:d5:39:89:6a:7e,0,-73,-37,0
cc:d5:39:89:6a:7e,0,0,-38,0
cc:d5:39:89:6a:7e,0,0,-39,0
cc:d5:39:89:6a:7e,0,0,-40,0
cc:d5:39:89:6a:7e,0,0,-42,0
cc:d5:39:89:6a:7e,0,0,-44,0
cc:d5:39:89:6a:7e,0,0,-46,0
cc:d5:39:89:6a:7e,0,0,-47,0
cc:d5:39:89:6a:7e,0,0,-49,0
f8:35:dd:22:c4:f7,0,-74,0,0
f8:35:dd:22:c4:f7,0,-74,0,0
f8:35:dd:22:c4:f7,0,-74,0,0
f8:35:dd:22:c4:f7,0,-74,0,0
f8:35:dd:22:c4:f7,0,-74,0,0
68:86:a7:1c:e6:be,0,0,-88,0
68:86:a7:1d:18:61,0,0,-65,0
68:86:a7:1d:18:61,0,0,-67,0
68:86:a7:1d:18:6e,0,0,-66,0
68:86:a7:1d:18:6e,0,0,-59,0
